ATKName, Discription, CostCenter
BVMC-CIS-4000050406,BVMC-CIS-4000050406,4000050406
BVMC-Central Sterile Proc-4000450400,BVMC-Central Sterile Proc-4000450400,4000450400
BVMC-Escort Msg Svcs-4000450401,BVMC-Escort Msg Svcs-4000450401,4000450401
BVMC-Outpatient Clinical-4000650306,BVMC-Outpatient Clinical-4000650306,4000650306
BVMC-Inpatient Clinical-4000650308,BVMC-Inpatient Clinical-4000650308,4000650308
BVMC-CVORR Safety-4001050305,BVMC-CVORR Safety-4001050305,4001050305
BVMC-MNP 3-4001050307,BVMC-MNP 3-4001050307,4001050307
BVMC-Overflow PACU ICU-4001050308,BVMC-Overflow PACU ICU-4001050308,4001050308
BVMC-MEDNP 3-4001050311,BVMC-MEDNP 3-4001050311,4001050311
BVMC-Wenz Overflow-4001050312,BVMC-Wenz Overflow-4001050312,4001050312
BVMC-MED Burton 2-4001050313,BVMC-MED Burton 2-4001050313,4001050313
BVMC-COVID VACCINE CLINIC-4001050316,BVMC-COVID VACCINE CLINIC-4001050316,4001050316
BVMC-Nursing Staffing Office-4001350300,BVMC-Nursing Staffing Office-4001350300,4001350300
BVMC-IT Nursing-4001350302,BVMC-IT Nursing-4001350302,4001350302
BVMC-Nursing Administration-4001350303,BVMC-Nursing Administration-4001350303,4001350303
BVMC-Nursing Education-4001350305,BVMC-Nursing Education-4001350305,4001350305
BVMC-Orientation Acute-4001350307,BVMC-Orientation Acute-4001350307,4001350307
BVMC-Nurse Recruitment-4001350308,BVMC-Nurse Recruitment-4001350308,4001350308
BVMC-Magnet-4001350311,BVMC-Magnet-4001350311,4001350311
BVMC-HSCRC-4001350312,BVMC-HSCRC-4001350312,4001350312
BVMC-Float Nurses-4001350400,BVMC-Float Nurses-4001350400,4001350400
BVMC-PACU-4003057200,BVMC-PACU-4003057200,4003057200
BVMC-RespiratoryTherapy-4003157403,BVMC-RespiratoryTherapy-4003157403,4003157403
BVMC-Angiography-4003657400,BVMC-Angiography-4003657400,4003657400
BVMC-CT-4003657401,BVMC-CT-4003657401,4003657401
BVMC-MRI-4003657403,BVMC-MRI-4003657403,4003657403
BVMC-Diagnostic-4003657405,BVMC-Diagnostic-4003657405,4003657405
BVMC-ED-4004257600,BVMC-ED-4004257600,4004257600
BVMC-TraumaCoordinator-4004257603,BVMC-TraumaCoordinator-4004257603,4004257603
BVMC-PES-4004257604,BVMC-PES-4004257604,4004257604
BVMC-ED Observation-4004257605,BVMC-ED Observation-4004257605,4004257605
BVMC-ED Pediatrics-4004257607,BVMC-ED Pediatrics-4004257607,4004257607
BVMC-AMU Intak-4004657000,BVMC-AMU Intak-4004657000,4004657000
BVMC-AMU-4004657001,BVMC-AMU-4004657001,4004657001
BVMC-Coronary Care-4004657002,BVMC-Coronary Care-4004657002,4004657002
BVMC-Hemodialysis Acute-4004657003,BVMC-Hemodialysis Acute-4004657003,4004657003
BVMC-Med A-4004657004,BVMC-Med A-4004657004,4004657004
BVMC-Med B-4004657005,BVMC-Med B-4004657005,4004657005
BVMC-MICU-4004657006,BVMC-MICU-4004657006,4004657006
BVMC-Progressive Care-4004657007,BVMC-Progressive Care-4004657007,4004657007
BVMC-Telemetry Monitoring-4004657009,BVMC-Telemetry Monitoring-4004657009,4004657009
BVMC-CarolBall Medicine Unit-4004657010,BVMC-CarolBall Medicine Unit-4004657010,4004657010
BVMC-Vent Unit-4004657012,BVMC-Vent Unit-4004657012,4004657012
BVMC-Rehab Unit-4004657013,BVMC-Rehab Unit-4004657013,4004657013
BVMC-MBU-4004657014,BVMC-MBU-4004657014,4004657014
BVMC-BCC Wound Team-4004657016,BVMC-BCC Wound Team-4004657016,4004657016
BVMC-Burton 4-4004657018,BVMC-Burton 4-4004657018,4004657018
BVMC-MED D-4004657021,BVMC-MED D-4004657021,4004657021
BVMC-Endoscopy-4004657401,BVMC-Endoscopy-4004657401,4004657401
BVMC-Outpt Detox-4004657407,BVMC-Outpt Detox-4004657407,4004657407
BVMC-Cardiac Rehab-4004657507,BVMC-Cardiac Rehab-4004657507,4004657507
BVMC-NCCU-4004957000,BVMC-NCCU-4004957000,4004957000
BVMC-NSU-4004957001,BVMC-NSU-4004957001,4004957001
BVMC-Neonatal Service Providers-4005350300,BVMC-Neonatal Service Providers-4005350300,4005350300
